thcbr,thcno,THCName,TOTDKT,actuwt,ContractRS,vehno,thcdt,routename,outacm,coming_from,actdept_dt,actdept_tm,depdate_prevbr,deptime_prevbr,DTDep,stat,FreeSpace,lastlocation,DaysFromStart
CJB,CJB_/THC/0000012,CJB : Coimbatore branch,24.00,2738.0,0,TN37AC8192,08 Apr 2006,CJB-BLR-YPR,0,BLR,4/8/2006 12:00:00 AM,19:10,4/7/2006,23:56,07 Apr 2006-23:56,Departed,0,BLR,462
MYS,MYS_/THC/0000126,MYS : Mysore Branch,2.00,1320.0,0,KA01B0904,08 Sep 2006,MYS-BLR-YPR,0,BLR,9/14/2006 12:00:00 AM,15:40,9/7/2006,23:45,07 Sep 2006-23:45,Departed,0,BLR,309
CJB,CJB_/THC/0000013,CJB : Coimbatore branch,24.00,4291.0,0,TN38AA7650,09 Apr 2006,CJB-BLR-YPR,0,BLR,4/10/2006 12:00:00 AM,12:30,4/8/2006,23:50,08 Apr 2006-23:50,Departed,0,BLR,461
CJB,CJB_/THC/0000649,CJB : Coimbatore branch,6.00,2905.0,0,tn41c 6181,09 Jun 2006,CJB-BLR-YPR,0,BLR,6/15/2006 12:00:00 AM,12:57,6/9/2006,00:10,09 Jun 2006-00:10,Departed,0,BLR,400
MYS,MYS_/THC/0000049,MYS : Mysore Branch,3.00,1424.0,0,KA01B0904,10 Jun 2006,MYS-BLR-YPR,0,BLR,6/15/2006 12:00:00 AM,12:56,6/8/2006,16:35,08 Jun 2006-16:35,Departed,0,BLR,399
MYS,MYS_/THC/0000168,MYS : Mysore Branch,5.00,3530.0,0,ka09a0909,10 Oct 2006,MYS-BLR-YPR,0,BLR,10/10/2006 12:00:00 AM,20:00,10/10/2006,01:19,10 Oct 2006-01:19,Departed,0,BLR,277
MYS,MYS_/THC/0000167,MYS : Mysore Branch,6.00,2643.0,0,KA01B0904,10 Oct 2006,MYS-BLR-YPR,0,BLR,10/10/2006 12:00:00 AM,00:20,10/8/2006,23:29,08 Oct 2006-23:29,Departed,0,BLR,277
CJB,CJB_/THC/0000304,CJB : Coimbatore branch,3.00,35.0,0,nil nilNIL,11 May 2006,CJB-BLR-PNQ,0,BLR,5/17/2006 12:00:00 AM,12:00,5/5/2006,15:50,05 May 2006-15:50,Departed,0,BLR,429
CJB,CJB_/THC/0000318,CJB : Coimbatore branch,3.00,31.0,0,NILLLLLL,11 May 2006,CJB-BLR-PNQ,0,BLR,5/17/2006 12:00:00 AM,12:10,5/6/2006,15:50,06 May 2006-15:50,Departed,0,BLR,429
CJB,CJB_/THC/0000305,CJB : Coimbatore branch,1.00,1.0,0,NIL NIL NI,11 May 2006,CJB-BLR-PNQ,0,BLR,5/17/2006 12:00:00 AM,12:00,5/5/2006,15:50,05 May 2006-15:50,Departed,0,BLR,429
MYS,MYS_/THC/0000021,MYS : Mysore Branch,9.00,3150.0,0,KA01B0904,11 May 2006,MYS-BLR-YPR,0,BLR,5/17/2006 12:00:00 AM,12:30,4/28/2006,23:18,28 Apr 2006-23:18,Departed,0,BLR,429
